ID_CIRCUITO;FTTH;OSP;SIG
2,2083E+20;1000013764;1;#N/A
2,2083E+20;1000013789;2;#N/A
2,20831E+20;1000013806;3;#N/A
2,20908E+20;1000009230;4;#N/A
2,20901E+20;1000013828;5;#N/A
2,20906E+20;1000009220;6;#N/A
2,20908E+20;1000013884;7;#N/A
2,20912E+20;1000013924;8;#N/A
2,20912E+20;1000013930;9;#N/A
2,20913E+20;1000009239;10;#N/A
2,20913E+20;1000009240;11;#N/A
2,20913E+20;1000013944;12;#N/A
2,20913E+20;1000013945;13;#N/A
2,20913E+20;1000013946;14;#N/A
2,20914E+20;1000013964;15;#N/A
2,21021E+20;4,50006E+11;16;43
2,21005E+20;1000009324;17;9
2,20926E+20;1000009256;18;6
2,20928E+20;7,58922E+12;19;31
2,21006E+20;1000014147;20;17
2,2093E+20;1000009274;21;21
2,20928E+20;6,12384E+12;22;26
2,20928E+20;3,15438E+12;23;62
2,20929E+20;7,34771E+12;24;22
2,21021E+20;4,50006E+11;25;51
2,21003E+20;1000009303;27;33
2,2093E+20;3,4352E+12;28;57
2,21004E+20;1000009307;29;53
2,21006E+20;1000014144;30;1
2,21006E+20;1000009334;31;45
2,21006E+20;1000014148;32;15
2,21006E+20;1000009337;33;40
2,21007E+20;1000014166;34;27
2,21007E+20;1000014167;35;37
2,21004E+20;1000009312;36;36
2,21007E+20;1000009357;37;34
2,21007E+20;1000014169;38;0
2,21007E+20;1000014170;39;55
2,21007E+20;1000014171;40;18
2,21007E+20;1000014172;41;2
2,21008E+20;1000014173;42;4
2,21011E+20;1000014187;43;14
2,21021E+20;4,50006E+11;44;52
2,21021E+20;4,50006E+11;45;50
2,21011E+20;1000014200;46;48
2,21021E+20;4,50006E+11;47;11
2,21021E+20;4,50006E+11;48;7
2,21021E+20;4,50006E+11;49;44
2,21027E+20;4,50006E+11;50;49
2,21006E+20;1000009333;56;56
2,21007E+20;1000009346;59;59
2,2093E+20;1000009273;60;60
